url,rfq_form_state,endpoint_ok,method,fields_present,missing_high_value_fields,file_upload,friction,rfq_reachable,priority
/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P3
/aluminum-die-casting/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/magnesium-die-casting-services/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/services/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/cold-chamber-die-casting-services/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/380-aluminum-die-casting-service/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/a383-aluminum-die-casting-service/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/adc12-die-casting-cnc-machining/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/automotive-die-casting-parts/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/precision-die-casting-medical-equipment/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/ev-battery-housing-die-casting/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/manufacturing-capabilities/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/large-scale-5000t-aluminum-die-casting-factory-china/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/porosity-control-x-ray-inspection-castings/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/precision-cnc-machining/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/die-casting-tooling/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/semi-solid-die-casting-heat-treatable-aluminum/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/contact/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/high-pressure-die-casting-process-quality/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/a356-aluminum-die-casting-porosity-control/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/am60b-magnesium-alloy-die-casting-suppliers/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/az91d-magnesium-die-casting-automotive-parts/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/explosion-proof-aluminum-enclosures-oil-gas-industry/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/medical-device-component-machining/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/sand-casting-services/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/zinc-die-casting-services/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
/gravity-die-casting-manufacturer/,CTA_LINK_ONLY,NO,NONE,company,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,MEDIUM,YES,P1
/die-cast-aluminum-electric-motor-housing-suppliers/,EMBEDDED,YES,POST,name|email|company|phone|message,material|process|annual_volume|part_application|drawing_upload,NOT_IMPLEMENTED,LOW,YES,P3
