url,real_forms,escaped_forms,endpoint,method,email_field,required_count,submit_button,fields
public\380-aluminum-die-casting-service\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\a356-aluminum-die-casting-porosity-control\,1,0,https://formspree.io/f/xpqgbdly,POST,True,4,True,name|email|company|phone|message|_subject(hidden)
public\a356-semi-solid-casting-benefits-expert-guide\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\a383-aluminum-die-casting-service\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\about-alumcasting-die-casting-expert\,0,0,NONE,NONE,False,0,False,name|company
public\adc12-die-casting-cnc-machining\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\aluminum-die-casting\,0,0,NONE,NONE,False,1,False,name
public\aluminum-to-magnesium-conversion-weight-reduction\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\aluminum-to-magnesium-conversion\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\am60b-magnesium-alloy-die-casting-suppliers\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\automotive-cnc-machining-equipment-list\,1,0,https://formspree.io/f/xpqgbdly,POST,True,4,True,name|email|company|phone|message|_subject(hidden)
public\automotive-die-casting-parts\,0,0,NONE,NONE,False,0,False,name
public\az91d-magnesium-die-casting-automotive-parts\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\categories\,0,0,NONE,NONE,False,0,False,name
public\cold-chamber-die-casting-services\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\contact\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\custom-aluminum-die-casting-for-ev-powertrain-components\,1,0,https://formspree.io/f/xpqgbdly,POST,True,4,True,name|email|company|phone|message|_subject(hidden)
public\die-cast-aluminum-electric-motor-housing-suppliers\,1,0,https://formspree.io/f/xpqgbdly,POST,True,4,True,name|email|company|phone|message|_subject(hidden)
public\die-casting-tooling\,0,0,NONE,NONE,False,1,False,name
public\ev-battery-housing-die-casting\,0,0,NONE,NONE,False,1,False,name
public\explosion-proof-aluminum-enclosures-oil-gas-industry\,1,0,https://formspree.io/f/xpqgbdly,POST,True,4,True,name|email|company|phone|message|_subject(hidden)
public\gravity-die-casting-manufacturer\,0,0,NONE,NONE,False,1,False,name
public\high-pressure-die-casting-process-quality\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\high-tolerance-automotive-cnc-machining\,1,0,https://formspree.io/f/xpqgbdly,POST,True,4,True,name|email|company|phone|message|_subject(hidden)
public\hot-chamber-vs-cold-chamber-aluminum-die-casting-myth\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\iatf-16949-high-tolerance-automotive-cnc-machining-supplier\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\,0,0,NONE,NONE,False,0,False,name
public\large-scale-5000t-aluminum-die-casting-factory-china\,0,0,NONE,NONE,False,1,False,name
public\liquid-cooled-aluminum-cooling-plates-for-electric-vehicles\,1,0,https://formspree.io/f/xpqgbdly,POST,True,4,True,name|email|company|phone|message|_subject(hidden)
public\magnesium-die-casting-services\,0,0,NONE,NONE,False,0,False,name
public\manufacturing-capabilities\,0,0,NONE,NONE,False,0,False,name
public\maximum-wall-thickness-projected-area-limits-5000t-die-casting\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\medical-device-component-machining\,1,0,https://formspree.io/f/xpqgbdly,POST,True,5,True,name|email|company|phone|message|_subject(hidden)
public\porosity-control-x-ray-inspection-castings\,0,0,NONE,NONE,False,0,False,name
public\precision-cnc-machining\,0,0,NONE,NONE,False,0,False,name
public\precision-die-casting-medical-equipment\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\sand-casting-services\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\semi-solid-die-casting-heat-treatable-aluminum\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\services\,0,0,NONE,NONE,False,0,False,name
public\stainless-steel-precision-machining\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\surface-finishing-aluminum-magnesium-casting\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\tags\,0,0,NONE,NONE,False,0,False,name
public\thin-wall-die-casting-tooling\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
public\thixocasting-vs-rheocasting-comparison\,1,0,https://formspree.io/f/xpqgbdly,POST,True,5,True,name|email|company|phone|message|_subject(hidden)
public\vacuum-assisted-die-casting-vs-conventional-hpdc-air-tightness\,0,0,NONE,NONE,False,0,False,name
public\zinc-die-casting-services\,1,0,https://formspree.io/f/xpqgbdly,POST,True,3,True,name|email|company|phone|message|_subject(hidden)
