id,source_count,source_files,contexts,wp_url,filename,extension,wp_status,final_url,local_match,duplicate_status,width,height,file_size,alt_status,classification,risk
M01,2,content/custom-aluminum-die-casting-for-ev-powertrain-components.md; content/liquid-cooled-aluminum-cooling-plates-for-electric-vehicles.md,CONTENT_BODY,https://alumcasting.com/wp-content/uploads/2022/10/400-units-5-axis-4-axis-cnc-machining-workshop.webp,400-units-5-axis-4-axis-cnc-machining-workshop.webp,webp,WP_200,https://alumcasting.com/wp-content/uploads/2022/10/400-units-5-axis-4-axis-cnc-machining-workshop.webp,NOT_FOUND_LOCAL,NOT_DUPLICATE,734,898,31468,ALT_PRESENT,MUST_MIGRATE,P2
M02,19,content/_index.md; content/a383-aluminum-die-casting-service.md; content/about-alumcasting-die-casting-expert.md; content/aluminum-die-casting.md; content/am60b-magnesium-alloy-die-casting-suppliers.md; content/automotive-cnc-machining-equipment-list.md; content/az91d-magnesium-die-casting-automotive-parts.md; content/cold-chamber-die-casting-services.md; content/die-cast-aluminum-electric-motor-housing-suppliers.md; content/die-casting-tooling.md; content/ev-battery-housing-die-casting.md; content/explosion-proof-aluminum-enclosures-oil-gas-industry.md; content/high-pressure-die-casting-process-quality.md; content/magnesium-die-casting-services.md; content/manufacturing-capabilities.md; content/maximum-wall-thickness-projected-area-limits-5000t-die-casting.md; content/precision-cnc-machining.md; content/services.md; content/vacuum-assisted-die-casting-vs-conventional-hpdc-air-tightness.md,CONTENT_BODY,https://alumcasting.com/wp-content/uploads/2022/10/5000t-aluminum-die-casting-machine-large-structural-parts.webp,5000t-aluminum-die-casting-machine-large-structural-parts.webp,webp,WP_200,https://alumcasting.com/wp-content/uploads/2022/10/5000t-aluminum-die-casting-machine-large-structural-parts.webp,NOT_FOUND_LOCAL,NOT_DUPLICATE,1920,1080,77526,ALT_PRESENT,MUST_MIGRATE,P2
M03,1,layouts/partials/seo-jsonld.html,ORGANIZATION_JSONLD,https://alumcasting.com/wp-content/uploads/2026/03/KingShip-Logo.png,KingShip-Logo.png,png,WP_200,https://alumcasting.com/wp-content/uploads/2026/03/KingShip-Logo.png,NOT_FOUND_LOCAL,NOT_DUPLICATE,200,40,2220,ALT_MISSING,HUMAN_REVIEW,P1
M04,3,content/custom-aluminum-die-casting-for-ev-powertrain-components.md; content/liquid-cooled-aluminum-cooling-plates-for-electric-vehicles.md; content/thin-wall-die-casting-tooling.md,CONTENT_BODY,https://alumcasting.com/wp-content/uploads/2026/03/custom-die-casting-mold-design-tooling-fabrication.webp,custom-die-casting-mold-design-tooling-fabrication.webp,webp,WP_200,https://alumcasting.com/wp-content/uploads/2026/03/custom-die-casting-mold-design-tooling-fabrication.webp,NOT_FOUND_LOCAL,NOT_DUPLICATE,734,898,67246,ALT_PRESENT,MUST_MIGRATE,P2
M05,4,content/high-tolerance-automotive-cnc-machining.md; content/medical-device-component-machining.md; content/stainless-steel-precision-machining.md; content/surface-finishing-aluminum-magnesium-casting.md,CONTENT_BODY,https://alumcasting.com/wp-content/uploads/2026/03/lightweight-magnesium-die-casting-3c-aerospace-parts.webp,lightweight-magnesium-die-casting-3c-aerospace-parts.webp,webp,WP_200,https://alumcasting.com/wp-content/uploads/2026/03/lightweight-magnesium-die-casting-3c-aerospace-parts.webp,NOT_FOUND_LOCAL,NOT_DUPLICATE,734,898,72658,ALT_PRESENT,MUST_MIGRATE,P2
M06,1,content/380-aluminum-die-casting-service.md,CONTENT_BODY,https://alumcasting.com/wp-content/uploads/2026/03/post-processing-secondary-operations-thread-inserting-assembly.webp,post-processing-secondary-operations-thread-inserting-assembly.webp,webp,WP_200,https://alumcasting.com/wp-content/uploads/2026/03/post-processing-secondary-operations-thread-inserting-assembly.webp,NOT_FOUND_LOCAL,NOT_DUPLICATE,734,898,45450,ALT_PRESENT,MUST_MIGRATE,P2
M07,6,content/high-tolerance-automotive-cnc-machining.md; content/iatf-16949-high-tolerance-automotive-cnc-machining-supplier.md; content/porosity-control-x-ray-inspection-castings.md; content/semi-solid-die-casting-heat-treatable-aluminum.md; content/thin-wall-die-casting-tooling.md,ARTICLE_JSONLD; CONTENT_BODY,https://alumcasting.com/wp-content/uploads/2026/03/precision-multi-axis-cnc-machining-tight-tolerance-parts.webp,precision-multi-axis-cnc-machining-tight-tolerance-parts.webp,webp,WP_200,https://alumcasting.com/wp-content/uploads/2026/03/precision-multi-axis-cnc-machining-tight-tolerance-parts.webp,NOT_FOUND_LOCAL,NOT_DUPLICATE,734,898,60084,MIXED,MUST_MIGRATE,P1
M08,4,content/a356-semi-solid-casting-benefits-expert-guide.md; content/automotive-die-casting-parts.md; content/sand-casting-services.md,ARTICLE_JSONLD; CONTENT_BODY,https://alumcasting.com/wp-content/uploads/2026/03/semi-solid-casting-ssm-zero-porosity-structural-parts.webp,semi-solid-casting-ssm-zero-porosity-structural-parts.webp,webp,WP_200,https://alumcasting.com/wp-content/uploads/2026/03/semi-solid-casting-ssm-zero-porosity-structural-parts.webp,NOT_FOUND_LOCAL,NOT_DUPLICATE,734,898,44104,MIXED,MUST_MIGRATE,P1
M09,7,content/aluminum-to-magnesium-conversion-weight-reduction.md; content/ev-battery-housing-die-casting.md; content/gravity-die-casting-manufacturer.md; content/high-pressure-die-casting-process-quality.md; content/thixocasting-vs-rheocasting-comparison.md,ARTICLE_JSONLD; CONTENT_BODY,https://alumcasting.com/wp-content/uploads/2026/03/vertically-integrated-manufacturing-process-casting-to-finishing.webp,vertically-integrated-manufacturing-process-casting-to-finishing.webp,webp,WP_200,https://alumcasting.com/wp-content/uploads/2026/03/vertically-integrated-manufacturing-process-casting-to-finishing.webp,NOT_FOUND_LOCAL,NOT_DUPLICATE,413,8234,117970,MIXED,MUST_MIGRATE,P1
M10,20,content/_index.md; content/a356-aluminum-die-casting-porosity-control.md; content/a356-semi-solid-casting-benefits-expert-guide.md; content/a383-aluminum-die-casting-service.md; content/adc12-die-casting-cnc-machining.md; content/aluminum-die-casting.md; content/am60b-magnesium-alloy-die-casting-suppliers.md; content/automotive-cnc-machining-equipment-list.md; content/az91d-magnesium-die-casting-automotive-parts.md; content/cold-chamber-die-casting-services.md; content/die-cast-aluminum-electric-motor-housing-suppliers.md; content/die-casting-tooling.md; content/explosion-proof-aluminum-enclosures-oil-gas-industry.md; content/large-scale-5000t-aluminum-die-casting-factory-china.md; content/magnesium-die-casting-services.md; content/manufacturing-capabilities.md; content/maximum-wall-thickness-projected-area-limits-5000t-die-casting.md; content/precision-cnc-machining.md; content/services.md; content/vacuum-assisted-die-casting-vs-conventional-hpdc-air-tightness.md,CONTENT_BODY,https://alumcasting.com/wp-content/uploads/2026/05/CMM-Inspection-Equipment.webp,CMM-Inspection-Equipment.webp,webp,WP_200,https://alumcasting.com/wp-content/uploads/2026/05/CMM-Inspection-Equipment.webp,NOT_FOUND_LOCAL,NOT_DUPLICATE,800,500,21238,MIXED,MUST_MIGRATE,P2
