url,page_type,primary_intent,secondary_intent,commercial_value,buyer_stage,primary_cta,rfq_present,capability_proof,trust_proof,internal_commercial_links,ads_suitable,organic_suitable,content_render,conversion_risk,recommended_action
/,Homepage,Commercial / Brand,Navigation / Capability overview,High,Decision,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,ISO9001,PPAP,XRAY,CNC)","present-in-source (IATF16949,ISO9001,PPAP,XRAY)",13,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/380-aluminum-die-casting-service/,Material,Commercial / Service,Capability,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,XRAY,CNC,HPDC,magnesium)","present-in-source (IATF16949,XRAY)",10,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/a356-aluminum-die-casting-porosity-control/,Article,Informational / Educational,Topical authority,Low-Medium,Awareness,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",10,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/a356-semi-solid-casting-benefits-expert-guide/,Article,Informational / Educational,Topical authority,Low-Medium,Awareness,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (IATF16949,ISO9001,XRAY,CNC,HPDC,magnesium)","present-in-source (IATF16949,ISO9001,XRAY)",10,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/a383-aluminum-die-casting-service/,Material,Commercial / Service,Capability,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",8,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/about-alumcasting-die-casting-expert/,About,Commercial / Informational,Mixed,Low,Awareness,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,ISO9001,XRAY,CNC,HPDC,magnesium)","present-in-source (ISO9001,XRAY)",7,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/adc12-die-casting-cnc-machining/,Material,Commercial / Service,Capability,Medium,Consideration,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (IATF16949,ISO9001,XRAY,tol_0_01,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",10,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/aluminum-die-casting/,Service,Commercial / Service,Capability,High,Consideration,Request a Quote (link to /contact/),CTA link only,"present-in-source (5000T,IATF16949,ISO9001,XRAY,CNC,HPDC)","present-in-source (IATF16949,ISO9001,XRAY)",12,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/aluminum-to-magnesium-conversion-weight-reduction/,Article,Informational / Educational,Topical authority,Low-Medium,Awareness,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (CNC,HPDC,magnesium,semi_solid)",none,1,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
/aluminum-to-magnesium-conversion/,Application,Commercial / Informational,Mixed,Low,Awareness,Request a Quote (link to /contact/),BROKEN – form escaped (&lt;form),"present-in-source (CNC,HPDC,magnesium,semi_solid)",none,0,NO – content escaped,NO – content escaped,ESCAPED (body not rendered),P0 – content escaped + RFQ form broken (P.4 regression),FIX P0 render+form before any CRO/ADS; then revisit per-intent CRO
