query_intent,intent_type,current_url,match_status,business_value,ads_ready,organic_ready,rfq_ready,gap,recommended_action,priority
aluminum die casting manufacturer,COMMERCIAL_MANUFACTURER,/aluminum-die-casting/,GOOD_MATCH,High,YES,YES,LINK (CTA to /contact/),Flagship LP has no embedded RFQ form (CTA link only),Embed RFQ form on flagship service LPs,P1
aluminum die casting supplier,COMMERCIAL_MANUFACTURER,/aluminum-die-casting/,GOOD_MATCH,High,YES,YES,LINK (CTA to /contact/),No embedded form on flagship LP,Embed RFQ form on flagship service LPs,P1
aluminum die casting company,COMMERCIAL_MANUFACTURER,/aluminum-die-casting/,GOOD_MATCH,Medium,YES,YES,LINK (CTA to /contact/),Generic variant; same LP,No change,P2
aluminum die casting services,COMMERCIAL_MANUFACTURER,/services/,EXACT,High,YES,YES,LINK (CTA to /contact/),Hub page; no embedded form,Embed RFQ form or strengthen CTA,P2
aluminum die casting factory,COMMERCIAL_MANUFACTURER,/large-scale-5000t-aluminum-die-casting-factory-china/,GOOD_MATCH,Medium,YES,YES,LINK (CTA to /contact/),China-factory angle LP; no embedded form,Embed RFQ form,P2
5000 ton aluminum die casting,CAPABILITY,/large-scale-5000t-aluminum-die-casting-factory-china/,EXACT,High,YES,YES,LINK (CTA to /contact/),Strong 5000T LP exists; no embedded form,Embed RFQ form,P2
large aluminum die casting,CAPABILITY,/large-scale-5000t-aluminum-die-casting-factory-china/,GOOD_MATCH,Medium,YES,YES,LINK (CTA to /contact/),Covered by 5000T LP,No change,P2
large structural die casting,CAPABILITY,(none),MISSING_LANDING_PAGE,High,NO,NO,NO,No dedicated structural LP; 5000T page partially covers,RECOMMENDED_NEW_LP only after verifying structural-capability facts (DEFERRED_FACT_VERIFICATION),P1
high pressure die casting,CAPABILITY,/high-pressure-die-casting-process-quality/,PARTIAL_MATCH,High,PARTIAL,YES,YES (embedded form),"Process page is quality-focused, not a service LP; service LP is /aluminum-die-casting/",Cross-link HPDC service intent to /aluminum-die-casting/,P2
HPDC manufacturer,CAPABILITY,/aluminum-die-casting/,GOOD_MATCH,Medium,YES,YES,LINK (CTA to /contact/),Covered by aluminum LP,No change,P2
A380 die casting,MATERIAL,/380-aluminum-die-casting-service/,EXACT,High,YES,YES,YES (embedded form),Dedicated A380 LP with embedded form,No change,P3
A356 die casting,MATERIAL,/a356-aluminum-die-casting-porosity-control/,PARTIAL_MATCH,Medium,NO,PARTIAL,YES (embedded form),LP H1 is editorial ('Battle on the Shop Floor') -> intent mismatch for commercial query; no pure A356 service LP,Create separate A356 commercial LP OR adjust H1; keep educational as supporting,P1
ADC12 die casting,MATERIAL,/adc12-die-casting-cnc-machining/,EXACT,Medium,YES,YES,YES (embedded form),Dedicated ADC12 LP with embedded form,No change,P3
magnesium die casting,MATERIAL,/magnesium-die-casting-services/,EXACT,High,YES,YES,LINK (CTA to /contact/),Flagship magnesium LP has no embedded form,Embed RFQ form on magnesium LP,P1
