component,form_state_before,form_state_after,endpoint,method,core_fields,material_field,process_field,annual_volume_field,drawing_upload,notes
layouts/shortcodes/formspree.html (all 41 forms),30 embedded + 11 CTA-link-only,"41 embedded, all with B2B fields",https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES (optional select),YES (optional select),YES (optional select),DEFERRED / NOT_IMPLEMENTED,Extended existing reusable shortcode; added OPTIONAL material/process/annual_volume selects; no file input (Formspree plan unverifiable)
/aluminum-die-casting/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
/magnesium-die-casting-services/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
/services/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
/automotive-die-casting-parts/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
/ev-battery-housing-die-casting/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
/manufacturing-capabilities/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
/large-scale-5000t-aluminum-die-casting-factory-china/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
/porosity-control-x-ray-inspection-castings/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
/precision-cnc-machining/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
/die-casting-tooling/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
/gravity-die-casting-manufacturer/,CTA_LINK_ONLY (no embedded form),EMBEDDED + trust block,https://formspree.io/f/xpqgbdly,POST,"name*,email*,company,phone,message*",YES,YES,YES,DEFERRED,P1-1: embedded RFQ form + quality-trust block appended (bottom-of-page CTA)
