broken_target,ref_count,classification,disposition,redirect_target,in_35_remap_csv,wp_live_status,example_refs
cost-down-dfm-design-aluminum-die-casting-molds,12,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/die-casting-tooling,YES,,380-aluminum-die-casting-service.md:47 | a383-aluminum-die-casting-service.md:34
semi-solid-die-casting-manufacturers,12,MERGED_301,MERGED (301 required),/a356-semi-solid-casting-benefits-expert-guide,NO,,_index.md:45 | _index.md:87
one-stop-die-casting-cnc-machining-surface-finishing,8,MERGED_301,MERGED (301 required),/manufacturing-capabilities,NO,,adc12-die-casting-cnc-machining.md:29 | am60b-magnesium-alloy-die-casting-suppliers.md:48
a380-aluminum-die-casting-alloy-properties,6,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/380-aluminum-die-casting-service,YES,,380-aluminum-die-casting-service.md:34 | aluminum-die-casting.md:72
scaling-die-casting-production-t0-to-10000-units,5,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/large-scale-5000t-aluminum-die-casting-factory-china,YES,,380-aluminum-die-casting-service.md:67 | adc12-die-casting-cnc-machining.md:53
magnesium-vs-aluminum-die-casting,5,HUMAN_REVIEW,HUMAN_REVIEW (K freeze),,NO,,_index.md:162 | am60b-magnesium-alloy-die-casting-suppliers.md:30
why-we-recommended-a356-over-adc12-high-stress-structural-parts,5,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/a356-aluminum-die-casting-porosity-control,YES,,adc12-die-casting-cnc-machining.md:108 | cold-chamber-die-casting-services.md:57
die-casting-factory-cmm-xray-inspection,5,MERGED_301,MERGED (301 required),/porosity-control-x-ray-inspection-castings,NO,,aluminum-die-casting.md:94 | aluminum-die-casting.md:104
large-scale-aluminum-die-casting-expertise,5,MERGED_301,MERGED (301 required),/large-scale-5000t-aluminum-die-casting-factory-china,NO,,cold-chamber-die-casting-services.md:33 | die-cast-aluminum-electric-motor-housing-suppliers.md:46
bridge-tooling-low-volume-aluminum-die-casting-guide,4,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/die-casting-tooling,YES,,380-aluminum-die-casting-service.md:67 | gravity-die-casting-manufacturer.md:52
aluminum-alloy-adc12-properties-engineering-guide,4,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/adc12-die-casting-cnc-machining,YES,,_index.md:160 | aluminum-die-casting.md:68
custom-casting-ev-battery-housing-prototypes,4,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/ev-battery-housing-die-casting,YES,,adc12-die-casting-cnc-machining.md:69 | gravity-die-casting-manufacturer.md:68
how-dfm-analysis-reduces-die-casting-costs,4,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/die-casting-tooling,YES,,am60b-magnesium-alloy-die-casting-suppliers.md:60 | die-cast-aluminum-electric-motor-housing-suppliers.md:67
pore-free-die-casting-weldable-automotive-structural-parts,4,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/automotive-die-casting-parts,YES,,cold-chamber-die-casting-services.md:43 | custom-aluminum-die-casting-for-ev-powertrain-components.md:59
minimum-draft-angle-for-aluminium-die-casting-dfm-guide,3,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/die-casting-tooling,YES,,cold-chamber-die-casting-services.md:66 | large-scale-5000t-aluminum-die-casting-factory-china.md:50
magnesium-die-casting-corrosion-protection-mao-coating,3,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/magnesium-die-casting-services,YES,,cold-chamber-die-casting-services.md:101 | magnesium-die-casting-services.md:165
prevent-blistering-aluminum-t6-heat-treatment,3,NO_EQUIVALENT_410,NO_EQUIVALENT (410/retire),,NO,,custom-aluminum-die-casting-for-ev-powertrain-components.md:48 | gravity-die-casting-manufacturer.md:46
5-methods-eliminate-porosity-aluminum-pressure-die-casting,2,APPROVED_301,APPROVED_REMAP (301 approved),https://alumcasting.com/porosity-control-x-ray-inspection-castings,YES,,adc12-die-casting-cnc-machining.md:57 | die-cast-aluminum-electric-motor-housing-suppliers.md:75
