intent,keyword_theme,current_url,recommended_url,match_status,commercial_value,cannibalization_risk,cta_status,rfq_status,notes
aluminum die casting manufacturer,Manufacturing service,/aluminum-die-casting/,/aluminum-die-casting/,COVERED_RENDER_BROKEN,High,LOW,"link present, form broken",BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
aluminum die casting supplier,Manufacturing service,/aluminum-die-casting/,/aluminum-die-casting/,COVERED_RENDER_BROKEN,High,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
aluminum die casting,Manufacturing service,/aluminum-die-casting/,/aluminum-die-casting/,COVERED_RENDER_BROKEN,High,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
high pressure die casting,Process/service,/high-pressure-die-casting-process-quality/,/high-pressure-die-casting-process-quality/,COVERED_RENDER_BROKEN,High,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
HPDC,Process/service,/high-pressure-die-casting-process-quality/,/high-pressure-die-casting-process-quality/,COVERED_RENDER_BROKEN,Medium,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
precision die casting,Manufacturing service,/aluminum-die-casting/,/aluminum-die-casting/,PARTIAL_RENDER_BROKEN,High,MEDIUM,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
magnesium die casting,Material/service,/magnesium-die-casting-services/,/magnesium-die-casting-services/,COVERED_RENDER_BROKEN,High,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
semi-solid die casting,Material/process,/semi-solid-die-casting-heat-treatable-aluminum/,/semi-solid-die-casting-heat-treatable-aluminum/,COVERED_RENDER_BROKEN,Medium,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
CNC machining,Capability,/precision-cnc-machining/,/precision-cnc-machining/,COVERED_RENDER_BROKEN,High,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
die casting + machining,Capability,/adc12-die-casting-cnc-machining/,/adc12-die-casting-cnc-machining/,COVERED_RENDER_BROKEN,Medium,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
X-ray inspection,Quality/capability,/porosity-control-x-ray-inspection-castings/,/porosity-control-x-ray-inspection-castings/,COVERED_RENDER_BROKEN,Medium,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
heat treatment,Capability,/semi-solid-die-casting-heat-treatable-aluminum/,/semi-solid-die-casting-heat-treatable-aluminum/,PARTIAL_RENDER_BROKEN,Low,MEDIUM,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
ADC12,Material/alloy,/adc12-die-casting-cnc-machining/,/adc12-die-casting-cnc-machining/,COVERED_RENDER_BROKEN,Medium,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
A380,Material/alloy,/a383-aluminum-die-casting-service/,/a383-aluminum-die-casting-service/,PARTIAL_RENDER_BROKEN,Medium,MEDIUM,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
A356,Material/alloy,/a356-aluminum-die-casting-porosity-control/,/a356-aluminum-die-casting-porosity-control/,COVERED_RENDER_BROKEN,Medium,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
AM60B,Material/alloy,/am60b-magnesium-alloy-die-casting-suppliers/,/am60b-magnesium-alloy-die-casting-suppliers/,COVERED_RENDER_BROKEN,Low,MEDIUM,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
AZ91D,Material/alloy,/az91d-magnesium-die-casting-automotive-parts/,/az91d-magnesium-die-casting-automotive-parts/,COVERED_RENDER_BROKEN,Low,MEDIUM,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
automotive die casting,Industry,/automotive-die-casting-parts/,/automotive-die-casting-parts/,COVERED_RENDER_BROKEN,High,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
medical die casting,Industry,/precision-die-casting-medical-equipment/,/precision-die-casting-medical-equipment/,COVERED_RENDER_BROKEN (P.3 rebuild),High,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
electronics die casting,Industry,NONE,/aluminum-die-casting/,MISSING_LP,Low,LOW,n/a,N/A,Form endpoint xpqgbdly correct; render+form broken (P0)
industrial die casting,Industry,NONE,/aluminum-die-casting/,MISSING_LP,Low,LOW,n/a,N/A,Form endpoint xpqgbdly correct; render+form broken (P0)
5000T die casting,Capability,/large-scale-5000t-aluminum-die-casting-factory-china/,/large-scale-5000t-aluminum-die-casting-factory-china/,COVERED_RENDER_BROKEN,High,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
large structural die casting,Capability,/large-scale-5000t-aluminum-die-casting-factory-china/,/large-scale-5000t-aluminum-die-casting-factory-china/,COVERED_RENDER_BROKEN,Medium,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
precision tolerance,Capability,/precision-cnc-machining/,/precision-cnc-machining/,PARTIAL_RENDER_BROKEN,Medium,MEDIUM,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
high-volume production,Capability,/manufacturing-capabilities/,/manufacturing-capabilities/,PARTIAL_RENDER_BROKEN,Medium,MEDIUM,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
PPAP,Quality,/precision-die-casting-medical-equipment/,/precision-die-casting-medical-equipment/,PARTIAL_RENDER_BROKEN,Medium,MEDIUM,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
quality control,Quality,/high-pressure-die-casting-process-quality/,/high-pressure-die-casting-process-quality/,COVERED_RENDER_BROKEN,Medium,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
die casting tooling,Capability,/die-casting-tooling/,/die-casting-tooling/,COVERED_RENDER_BROKEN,Medium,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
magnesium vs aluminum weight reduction,Application,/aluminum-to-magnesium-conversion/,/aluminum-to-magnesium-conversion/,COVERED_RENDER_BROKEN,Low,MEDIUM,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
EV powertrain die casting,Application,/custom-aluminum-die-casting-for-ev-powertrain-components/,/custom-aluminum-die-casting-for-ev-powertrain-components/,COVERED_RENDER_BROKEN,Medium,LOW,link present,BROKEN,Form endpoint xpqgbdly correct; render+form broken (P0)
